feature,coef_logodds,se_firm,p_firm,se_firm_year,p_firm_year,odds_ratio
const,-2.718123069227828,0.028256754120821365,0.0,0.028256754120821365,0.0,0.06599851288679438
z_ln_at,-0.6137609335992535,0.040741070596193446,0.0,0.040741070596193446,0.0,0.5413112004681049
z_cash_at,0.057414919507506226,0.030502809425264597,0.05979760199510453,0.030502809425264597,0.05979760199510453,1.0590951584837112
z_current_ratio,0.10105985539473152,0.017557716307496352,8.619894575900844e-09,0.017557716307496352,8.619894575900844e-09,1.1063428603702492
z_nwc_at,-0.003682110897037545,0.029662744136980442,0.9012103575914236,0.029662744136980442,0.9012103575914236,0.9963246597606381
z_rect_act,-0.051305135273386294,0.02750410054060927,0.06213052071648839,0.02750410054060927,0.06213052071648839,0.9499887512250539
z_invt_act,0.06563840858118879,0.023737221952431102,0.005688612378856206,0.023737221952431102,0.005688612378856206,1.0678405253777474
z_ppent_at,-0.053489763189294944,0.028594758597740466,0.06139856664812582,0.028594758597740466,0.06139856664812582,0.9479156445871542
z_intan_at,-0.03015121434224725,0.029332298035950697,0.3039881256625607,0.029332298035950697,0.3039881256625607,0.9702987993599024
z_lt_at,-0.20638785737167847,0.030479681103479723,1.2760681400436624e-11,0.030479681103479723,1.2760681400436624e-11,0.8135174863308695
z_dlc_at,-0.012555428173801012,0.036871539692962405,0.7334663631864302,0.036871539692962405,0.7334663631864302,0.9875230623769445
z_dltt_at,-0.06982718701971724,0.07574383907453501,0.35658802734488426,0.07574383907453501,0.35658802734488426,0.932554963584222
z_debt_at,0.044110199463364745,0.08873787726157442,0.6191296543025586,0.08873787726157442,0.6191296543025586,1.0450975177285031
z_st_debt_share,0.2225440403701718,0.02270283942085293,0.0,0.02270283942085293,0.0,1.2492508359084267
z_ebitda_at,-0.3029667335827407,0.04200972817327771,5.520028878436278e-13,0.04200972817327771,5.520028878436278e-13,0.7386236673249014
z_xint_at,0.10251243414655153,0.037431326762226526,0.006168634137168061,0.037431326762226526,0.006168634137168061,1.1079510782502349
z_interest_coverage,-0.1560168406564981,0.04121342789872398,0.00015334880929884775,0.04121342789872398,0.00015334880929884775,0.8555447823139005
z_debt_to_ebitda,-0.015456007191469395,0.026659588846309146,0.5620804230052914,0.026659588846309146,0.5620804230052914,0.9846628238819831
z_ebit_to_capital,-0.11818206364094336,0.04110423045230367,0.004037971527776518,0.04110423045230367,0.004037971527776518,0.8885342681035718
z_ceq_at,-0.013685065191086244,0.03128554290936518,0.6618034677579758,0.03128554290936518,0.6618034677579758,0.9864081496121856
z_re_at,-0.1083013011596843,0.02031830782076323,9.808720546899963e-08,0.02031830782076323,9.808720546899963e-08,0.8973571809349628
z_prstkc_at,-0.06678883874245438,0.03166144156418912,0.03490409386255022,0.03166144156418912,0.03490409386255022,0.9353926991827544
z_ln_at_l1,-0.129734631460066,0.03709856963636109,0.00047047745555284237,0.03709856963636109,0.00047047745555284237,0.8783284807436654
z_cash_at_l1,0.01482733148318387,0.03397488793768032,0.6625317982607433,0.03397488793768032,0.6625317982607433,1.014937801680082
z_current_ratio_l1,0.10653351801014588,0.01737075528431877,8.627849545916888e-10,0.01737075528431877,8.627849545916888e-10,1.1124152117651704
z_nwc_at_l1,0.06603239811031641,0.03142451037164274,0.03561443187798363,0.03142451037164274,0.03561443187798363,1.0682613262536504
z_rect_act_l1,0.042149831030737765,0.025010878982087748,0.09193844171122079,0.025010878982087748,0.09193844171122079,1.0430507484121951
z_invt_act_l1,-0.0014517768220308268,0.02471614958626122,0.9531608039511683,0.02471614958626122,0.9531608039511683,0.9985492764961503
z_ppent_at_l1,0.06055491123231864,0.03008534135323051,0.044138695899981206,0.03008534135323051,0.044138695899981206,1.0624259350859608
z_intan_at_l1,-0.003966523085984634,0.03174195330875606,0.9005540052833607,0.03174195330875606,0.9005540052833607,0.9960413331759306
z_lt_at_l1,-0.1285091638374602,0.03436053183160842,0.00018400374766569527,0.03436053183160842,0.00018400374766569527,0.8794055036523943
z_dlc_at_l1,-0.10478139482285267,0.03420659983818388,0.002189892517719727,0.03420659983818388,0.002189892517719727,0.9005213597020381
z_dltt_at_l1,-0.1417172187088833,0.06442782401841107,0.02783332866290822,0.06442782401841107,0.02783332866290822,0.8678666382380726
z_debt_at_l1,0.15303882221178886,0.07607092195268275,0.044241936935540016,0.07607092195268275,0.044241936935540016,1.1653702203140526
z_st_debt_share_l1,0.12844564610448705,0.02224726418675991,7.761951303919545e-09,0.02224726418675991,7.761951303919545e-09,1.1370596159919915
z_ebitda_at_l1,-0.12544107403509291,0.03711174073308928,0.0007246174017214724,0.03711174073308928,0.0007246174017214724,0.8821077419454513
z_xint_at_l1,0.04089876750293004,0.04140048264748743,0.32321072696109976,0.04140048264748743,0.32321072696109976,1.0417466415935372
z_interest_coverage_l1,-0.08964066283396498,0.03168230173850075,0.004664108361408292,0.03168230173850075,0.004664108361408292,0.9142596537252219
z_debt_to_ebitda_l1,-0.018338639116425953,0.026989448992545087,0.49683733560636734,0.026989448992545087,0.49683733560636734,0.9818284905231294
