split,model,roc_auc,pr_auc,brier,mean_p,event_rate,n
test,always_0,0.5,0.07691350342252645,0.07691350342252645,0.0,0.07691350342252645,8035
test,logit,0.7429510095106449,0.2467569590452015,0.06507297556389194,0.08334294722225899,0.07691350342252645,8035
test,tree_calibrated,0.8774642178185076,0.412684314335829,0.056261016719564495,0.09781943261623383,0.07691350342252645,8035
val,always_0,0.5,0.10702096538274013,0.10702096538274013,0.0,0.10702096538274013,4102
val,logit,0.7233736117562997,0.3086737236253983,0.08721020653048238,0.08090580777575516,0.10702096538274013,4102
val,tree_calibrated,0.8752388752388751,0.49463142154225553,0.06885187978456082,0.10414331406354904,0.10702096538274013,4102
