feature,coef_logodds,se_firm,p_firm,se_firm_year,p_firm_year,odds_ratio
const,-3.7958637007496674,0.06056925189864796,0.0,0.06056925189864796,0.0,0.022463495697600765
z_ln_at,0.29988127969895706,0.07468698882689197,5.940187330999436e-05,0.07468698882689197,5.940187330999436e-05,1.349698561444425
z_cash_at,-0.2111852864027711,0.06453725197659821,0.001066761019811846,0.06453725197659821,0.001066761019811846,0.8096240406567055
z_current_ratio,-0.10674350105629263,0.038428634251890983,0.005474389362944754,0.038428634251890983,0.005474389362944754,0.8987561734366183
z_nwc_at,0.1464702496126365,0.04628877298966045,0.0015547163803719677,0.04628877298966045,0.0015547163803719677,1.1577404870781447
z_rect_act,-0.021932755800739615,0.0368046171941601,0.5512259792697938,0.0368046171941601,0.5512259792697938,0.9783060182442447
z_invt_act,0.05209800966870823,0.0331604403639118,0.11616193124908936,0.0331604403639118,0.11616193124908936,1.0534789885803875
z_lt_at,0.20383212511586676,0.0860044374573267,0.017787185569118513,0.0860044374573267,0.017787185569118513,1.2260923060745725
z_ceq_at,-0.21043876652521487,0.05590868129846809,0.00016723495248305298,0.05590868129846809,0.00016723495248305298,0.8102286667510227
z_re_at,0.24360984621399723,0.0816960344921836,0.002864605022782074,0.0816960344921836,0.002864605022782074,1.2758464570465908
z_niadj_at,0.11269510658682169,0.04993943999703374,0.024030868430685803,0.04993943999703374,0.024030868430685803,1.1192906165822458
z_xint_at,0.06034400669274509,0.06116558205764172,0.32385445823553227,0.06116558205764172,0.32385445823553227,1.0622018882603672
z_prstkc_at,-0.014822461484890921,0.03805761903078713,0.6969253776603517,0.03805761903078713,0.6969253776603517,0.9852868504402817
z_ppent_at,0.09450220144468832,0.04836881115368632,0.05072678654986884,0.04836881115368632,0.05072678654986884,1.0991115827636826
z_intan_at,0.10966978420136149,0.042988586752384025,0.01073720384291943,0.042988586752384025,0.01073720384291943,1.1159095186584946
z_ebit_to_capital,0.03929256769400629,0.022854598526671464,0.08557045932748841,0.022854598526671464,0.08557045932748841,1.0400747314072174
z_ln_at_l1,0.1860914424879228,0.06835700132667746,0.006482014107083378,0.06835700132667746,0.006482014107083378,1.2045324007813079
z_cash_at_l1,-0.10057436229576476,0.05305321478018189,0.057996276322360485,0.05305321478018189,0.057996276322360485,0.9043178627600063
z_current_ratio_l1,-0.08560438972745721,0.03393840238369921,0.0116575018208529,0.03393840238369921,0.0116575018208529,0.9179573127387015
z_nwc_at_l1,0.06994297451696244,0.040486631209511105,0.08406762729307893,0.040486631209511105,0.08406762729307893,1.0724470227009333
z_rect_act_l1,-0.02826573995117257,0.03940949978187631,0.4732311827166662,0.03940949978187631,0.4732311827166662,0.9721299986950168
z_invt_act_l1,0.012485434598652416,0.038420507961193694,0.7452053110275014,0.038420507961193694,0.7452053110275014,1.012563703036501
z_lt_at_l1,0.23632606614549845,0.06018270527525686,8.607982353137089e-05,0.06018270527525686,8.607982353137089e-05,1.2665872340603177
z_ceq_at_l1,-0.10327266502288629,0.05447737215355131,0.057999942375324576,0.05447737215355131,0.057999942375324576,0.9018810285414609
z_re_at_l1,0.12705709664249545,0.07687303596146576,0.09836801793932559,0.07687303596146576,0.09836801793932559,1.135481848131814
z_niadj_at_l1,0.17775753050107415,0.05165171428975995,0.0005785748236166732,0.05165171428975995,0.0005785748236166732,1.1945356476577798
z_xint_at_l1,0.08272587509839456,0.05556821412069925,0.136559393495018,0.05556821412069925,0.136559393495018,1.0862440012019492
z_prstkc_at_l1,-0.05839131469141278,0.04122163026049637,0.15662295077355393,0.04122163026049637,0.15662295077355393,0.9432807555886238
z_ppent_at_l1,0.027227226793323366,0.04907833632251378,0.5790514576829227,0.04907833632251378,0.5790514576829227,1.0276012747794192
z_intan_at_l1,-0.05114630172195593,0.04491260274588544,0.2547881635682876,0.04491260274588544,0.2547881635682876,0.9501396532960685
z_ebit_to_capital_l1,0.054981885021712265,0.021563343785017675,0.010778944850190486,0.021563343785017675,0.010778944850190486,1.0565214756385515
loss_indicator,0.32902812178092694,0.08287818425396568,7.186633434508316e-05,0.08287818425396568,7.186633434508316e-05,1.3896169335411146
loss_indicator_l1,0.2607219578806823,0.08112384091185205,0.001309562559543842,0.08112384091185205,0.001309562559543842,1.2978667536389012
