split,model,roc_auc,pr_auc,brier,mean_p,event_rate,n
test,always_0,0.5,0.026912018401380102,0.026912018401380102,0.0,0.026912018401380102,8695
test,logit,0.6346100812475945,0.05773452111186485,0.025986741292014805,0.03333142943830816,0.026912018401380102,8695
test,tree_calibrated,0.818178581061219,0.10502390879115168,0.0252663936579918,0.03652458265423775,0.026912018401380102,8695
val,always_0,0.5,0.03424194638432079,0.03424194638432079,0.0,0.03424194638432079,4439
val,logit,0.5984033737247247,0.04903832754047329,0.032959519774305765,0.033082479838834174,0.03424194638432079,4439
val,tree_calibrated,0.8353513682737284,0.1527708864791389,0.03040178796933537,0.03449634462594986,0.03424194638432079,4439
