split,col,proxy_versions,count,mean,std,min,1%,10%,50%,90%,99%,max
train,cash_at,"v1,v2,v3",48458.0,17.19676517546727,92.48628339299127,0.0,0.0,0.0008093249668858732,0.10243727621405829,0.9560052673588276,555.5028403856953,999.1143317230282
train,ceq_at,"v1,v3",48458.0,-8.914256763989387,858.6288151740058,-108874.50980392148,-506.545930293067,-0.3398316309205758,0.36843009927117365,0.9495982580053297,829.2897193785767,4761.002785515317
train,current_ratio,"v1,v2,v3",48458.0,242.44340447054725,2135.5684441361027,1.866019779809667e-06,0.0003224362802718039,0.062463560251265746,1.6884635872693488,16.127039367957146,5154.9713068486335,161193.6170212765
train,debt_at,"v1,v2",48458.0,31.565162955609363,364.6441950411997,0.0,0.0,0.0,0.16262074359759815,1.2802368708792142,604.9629011491465,26189.67468175389
train,debt_to_ebitda,"v1,v2",48391.0,1468.953681583325,242043.213125202,-2675131.8584491354,-1162.9974099364256,-1.6521204671173948,0.20343959053562605,10.289390200916463,5730.79997767954,51966749.99999999
train,dlc_at,v1,48458.0,15.909202229315422,318.3037937508511,0.0,0.0,0.0,0.007154203056450457,0.4151005051125052,200.5419842829078,26184.865629420085
train,dltt_at,v1,48458.0,15.655960726293937,157.80102579142542,0.0,0.0,0.0,0.05901849798499757,0.6338582558885087,457.6591959729518,23823.68421052633
train,ebit_to_capital,"v1,v2,v3",48422.0,25.639396287766495,3501.1880989895176,-30742.424242424247,-107.31858258033473,-0.6538441022147491,0.050540851098926004,0.38473692701229145,54.50458910508422,601166.6666666663
train,ebitda_at,"v1,v2",48458.0,-30.657234388070766,985.765666546873,-169178.51612903224,-612.4861565420562,-1.0796922958870478,0.020815170191121064,0.2040097340305068,144.13058458741884,7421.0126582278435
train,fcf_to_debt,v2,39624.0,-172.43867081077906,25139.980921101607,-1656199.9999999993,-2299.7233223684193,-4.397146985721767,0.04021275036804505,1.4380760185277737,761.1110323599219,2357799.999999999
train,intan_at,"v1,v2,v3",48458.0,9.556164154899935,63.069346028959146,0.0,0.0,0.0,0.016812440403796786,0.5922471829767721,354.48982909770325,977.8286384976532
train,interest_coverage,"v1,v2",42096.0,4235.234345668041,308024.60076839314,-6750623.781622039,-20866.572580645163,-60.80856208836114,3.3873629915886614,118.97153272420431,26966.428973233855,32092600.000000022
train,invt_act,"v1,v2,v3",48458.0,10.118179488020614,65.50524546125632,0.0,0.0,0.0,0.02365177042033906,0.547205069594841,372.41100502247644,2425.0
train,ln_at,"v1,v2,v3",48458.0,11.001000687521405,3.6131680649615494,-0.07257069283483537,-0.07257069283483526,6.2822387082025895,11.40881970155436,15.148055637471856,17.741002748302265,17.74234588470021
train,loss_indicator,v3,48458.0,0.49356143464443436,0.49996370191645323,0.0,0.0,0.0,0.0,1.0,1.0,1.0
train,lt_at,"v1,v2,v3",48458.0,75.86050077993214,625.5664027943373,1.2054262241849346e-06,0.0001615486170140647,0.03172568990612648,0.580436166175694,14.018829676071114,1080.8434831193088,46098.92473118277
