feature,coef_logodds,se_firm,p_firm,se_firm_year,p_firm_year,odds_ratio
const,-2.4939233539249526,0.038545140593992853,0.0,0.038545140593992853,0.0,0.08258531870307789
z_ln_at,-1.1759343270112799,0.036151004881793514,0.0,0.036151004881793514,0.0,0.30853057652611415
z_cash_at,-0.27130193245052564,0.02639210416556543,0.0,0.02639210416556543,0.0,0.7623862724952781
z_current_ratio,-0.2961044661044614,0.030687779102890247,0.0,0.030687779102890247,0.0,0.7437097315034239
z_nwc_at,-0.22772142703304368,0.020299557128340206,0.0,0.020299557128340206,0.0,0.7963460694262254
z_aco_act,0.12163884493262145,0.017883879486347617,1.0347056544901534e-11,0.017883879486347617,1.0347056544901534e-11,1.1293461590312985
z_lco_lct,0.2600411966077114,0.021422257774179082,0.0,0.021422257774179082,0.0,1.2969835168863457
z_rect_act,-0.03673141788046397,0.02257116575097568,0.10366060916233666,0.02257116575097568,0.10366060916233666,0.9639349962891857
z_invt_act,-0.04767610932799673,0.021964409604755188,0.02996086463827341,0.021964409604755188,0.02996086463827341,0.953442548220038
z_ppent_at,-0.2665793781657942,0.024454076984848572,0.0,0.024454076984848572,0.0,0.7659951980190773
z_intan_at,-0.19793464458330817,0.023464071881117446,0.0,0.023464071881117446,0.0,0.8204234705034978
z_txp_lct,-0.01768343633026754,0.024394908738306475,0.46852427116371587,0.024394908738306475,0.46852427116371587,0.9824719980765999
z_txditc_at,-0.10398970122074544,0.033113451448397495,0.001687134997731654,0.033113451448397495,0.001687134997731654,0.9012345789893959
z_lt_at,-0.15064057086463148,0.024018291687282978,3.5664515785072126e-10,0.024018291687282978,3.5664515785072126e-10,0.8601568085223008
z_debt_at,0.058222522491278975,0.03031209815008031,0.054760902709310555,0.03031209815008031,0.054760902709310555,1.059950832369686
z_st_debt_share,0.25343554511968347,0.020738720818916073,0.0,0.020738720818916073,0.0,1.2884443302837543
z_ebitda_at,0.05271316390715711,0.02359251737362864,0.02546221902289525,0.02359251737362864,0.02546221902289525,1.0541272400121953
z_xint_at,0.22155922306162842,0.03013711540469588,1.9562129693895258e-13,0.03013711540469588,1.9562129693895258e-13,1.2480211576661056
z_interest_coverage,-0.09763260831268551,0.0176189716807677,3.001759041332264e-08,0.0176189716807677,3.001759041332264e-08,0.9069820602201837
z_debt_to_ebitda,-0.008094075316730424,0.02684840930210328,0.763053698884848,0.02684840930210328,0.763053698884848,0.9919385935101511
z_ebit_to_capital,0.07740000937044711,0.016008543177552632,1.3319986993387545e-06,0.016008543177552632,1.3319986993387545e-06,1.0804741897625714
z_ocf_to_debt,-0.27071420062027884,0.07170063511434493,0.00015961151274934693,0.07170063511434493,0.00015961151274934693,0.7628344828754183
z_fcf_to_debt,0.20761272569192565,0.062332258861625967,0.0008661457435301667,0.062332258861625967,0.0008661457435301667,1.230736444638152
z_capx_at,-0.039080112232204686,0.026642936575268485,0.14242788716557175,0.026642936575268485,0.14242788716557175,0.9616736642363937
z_re_at,-0.0578476579113293,0.0223547574656191,0.009661592609270464,0.0223547574656191,0.009661592609270464,0.943793715991488
