split,model,roc_auc,pr_auc,brier,mean_p,event_rate,n
test,always_0,0.5,0.037691187181354696,0.037691187181354696,0.0,0.037691187181354696,10984
test,logit,0.7281002198364709,0.12394867382533314,0.03492548618105422,0.033760761440137545,0.037691187181354696,10984
test,tree_calibrated,0.9211914816795324,0.3154966448657387,0.04228732093524309,0.09203563919947633,0.037691187181354696,10984
val,always_0,0.5,0.04017391304347826,0.04017391304347826,0.0,0.04017391304347826,5750
val,logit,0.7107850173622958,0.11934968295087689,0.03731867287739199,0.031889686320517745,0.04017391304347826,5750
val,tree_calibrated,0.9216653371391548,0.33404151031720647,0.037802577707212716,0.08268537454902551,0.04017391304347826,5750
